tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,icon
28.3,16.1,22.4,28.0,16.1,22.3,11.9,52.58,0.0,0.0,0.0,0.0,46.0,25.9,211.7,1010.1,66.1,16.0,334.9,19.3,8,0.03,partly-cloudy-day
24.8,18.1,20.3,24.8,18.1,20.3,16.5,79.07,1.67,25.0,0.0,0.0,42.5,23.6,164.8,1006.3,67.3,15.6,221.1,12.7,9,0.06,rain
22.3,17.7,20.5,22.3,17.7,20.5,11.4,57.25,0.0,0.0,0.0,0.0,37.1,25.6,172.7,1012.8,40.9,16.0,398.5,24.4,9,0.1,partly-cloudy-day
21.9,17.0,19.8,21.9,17.0,19.8,10.2,54.48,0.0,0.0,0.0,0.0,33.5,23.7,132.8,1020.4,26.3,16.0,405.8,24.8,10,0.15,partly-cloudy-day
25.6,13.7,19.9,25.6,13.7,19.9,8.0,47.32,0.0,0.0,0.0,0.0,31.7,25.6,175.0,1026.0,31.9,16.0,403.1,24.7,10,0.21,partly-cloudy-day
23.5,14.2,18.9,23.5,14.2,18.9,11.3,62.12,0.01,4.17,0.0,0.0,31.7,27.2,142.8,1021.1,60.0,16.0,362.6,22.2,9,0.27,rain
25.6,17.3,21.6,25.6,17.3,21.6,15.1,70.5,15.77,58.33,0.0,0.0,49.4,31.2,239.0,1010.7,62.9,13.4,123.8,7.6,5,0.32,rain
23.4,15.5,19.7,23.4,15.5,19.7,7.3,45.51,0.0,0.0,0.0,0.0,35.8,28.8,228.5,1020.1,37.2,16.0,388.9,23.8,9,0.37,partly-cloudy-day
16.6,11.7,14.0,16.6,11.7,14.0,10.4,79.51,15.94,58.33,0.0,0.0,48.2,38.4,172.2,1013.8,77.6,10.7,65.2,3.5,2,0.42,rain
24.3,12.2,18.2,24.3,12.2,18.2,10.3,63.34,0.02,4.17,0.0,0.0,51.8,36.6,241.5,1009.3,52.6,16.0,380.5,20.5,9,0.45,rain
28.3,16.6,22.6,27.3,16.6,22.4,8.6,42.27,0.0,0.0,0.0,0.0,57.1,36.9,235.1,1015.5,34.6,16.0,415.4,23.9,10,0.48,wind
21.7,17.3,20.0,21.7,17.3,20.0,15.7,77.58,3.04,58.33,0.0,0.0,42.6,27.5,197.0,1011.2,66.9,12.8,63.3,3.4,2,0.5,rain
22.8,18.4,20.8,22.8,18.4,20.8,15.0,70.66,0.0,4.17,0.0,0.0,34.24338360256385,20.1,192.1,1013.3,45.9,15.1,305.2,17.6,8,0.5,partly-cloudy-day
20.9,16.8,18.9,20.9,16.8,18.9,16.4,85.37,2.63,25.0,0.0,0.0,27.94189211442704,14.4,106.9,1014.2,60.5,11.4,105.6,5.7,2,0.51,rain
21.8,15.8,18.7,21.8,15.8,18.6,16.0,84.7,0.0,0.0,0.0,0.0,29.5,27.3,88.7,1011.1,80.5,9.8,202.3,10.9,7,0.53,partly-cloudy-day
22.2,16.3,19.2,22.2,16.3,19.2,17.4,89.33,9.2,33.33,0.0,0.0,40.7,20.3,125.2,1003.5,73.7,8.1,58.5,3.2,1,0.55,rain
23.3,16.2,19.8,23.3,16.2,19.8,15.5,77.1,29.0,37.5,0.0,0.0,48.7,25.6,254.9,999.5,63.9,11.3,118.3,6.8,3,0.59,rain
27.8,18.2,21.7,27.0,18.2,21.6,10.4,50.14,0.02,4.17,0.0,0.0,51.7,33.2,273.0,1007.6,40.3,16.0,353.9,20.4,9,0.62,rain
30.5,18.6,24.8,29.0,18.6,24.3,9.8,39.8,0.0,0.0,0.0,0.0,44.6,29.1,285.8,1010.1,31.3,16.0,409.7,23.6,9,0.67,partly-cloudy-day
26.2,18.4,22.4,26.2,18.4,22.4,12.0,52.85,0.0,0.0,0.0,0.0,33.5,27.0,187.7,1009.9,39.8,16.0,430.8,24.8,9,0.71,partly-cloudy-day
22.8,17.0,20.0,22.8,17.0,20.0,17.1,83.48,3.33,33.33,0.0,0.0,59.4,25.6,123.7,1012.1,67.6,14.3,115.4,7.5,3,0.76,rain
23.4,17.4,20.3,23.4,17.4,20.3,17.6,84.82,0.0,4.17,0.0,0.0,34.24338360256385,20.1,135.2,1015.6,56.3,12.7,332.6,25.1,9,0.81,partly-cloudy-day
21.4,16.1,18.8,21.4,16.1,18.8,16.1,84.75,0.0,0.0,0.0,0.0,36.343880765276126,22.0,87.3,1019.2,67.7,10.2,347.5,27.5,9,0.85,partly-cloudy-day
29.5,17.3,22.8,29.6,17.3,22.9,16.9,71.32,0.0,0.0,0.0,0.0,34.13283112031584,20.0,156.2,1019.4,40.5,15.8,371.3,25.4,9,0.9,partly-cloudy-day
28.8,21.1,24.7,30.6,21.1,25.0,18.4,69.22,40.42,29.17,0.0,0.0,73.6,20.2,224.0,1013.5,52.1,15.6,178.3,12.8,6,0.94,rain
25.5,18.9,22.0,25.5,18.9,22.0,16.2,70.02,4.08,25.0,0.0,0.0,57.0,32.9,316.0,1006.3,42.3,15.8,154.3,12.8,5,0.97,rain
28.2,17.8,22.9,27.9,17.8,22.9,14.8,61.63,0.0,0.0,0.0,0.0,33.5,20.3,236.7,1010.1,30.7,16.0,291.8,24.2,9,0.99,partly-cloudy-day
30.6,22.7,26.2,29.7,22.7,26.2,15.6,53.02,0.0,0.0,0.0,0.0,32.8,22.0,269.0,1007.6,53.6,16.0,333.1,21.6,9,1.0,partly-cloudy-day
29.5,23.2,26.5,29.7,23.2,26.7,17.0,56.76,0.0,0.0,0.0,0.0,27.7,20.2,194.3,1010.1,31.9,16.0,400.4,25.9,10,0.0,partly-cloudy-day
29.0,23.6,26.1,29.5,23.6,26.2,16.4,55.71,0.0,0.0,0.0,0.0,30.152941759387325,16.4,172.2,1017.6,36.2,16.0,384.8,24.9,8,0.02,partly-cloudy-day
32.2,21.6,27.2,33.0,21.6,27.4,17.6,57.92,0.0,0.0,0.0,0.0,35.3,23.9,198.2,1019.6,41.8,15.3,459.9,28.1,9,0.05,partly-cloudy-day
34.3,23.8,27.6,38.4,23.8,29.2,21.6,71.22,34.11,25.0,0.0,0.0,50.7,31.0,239.0,1011.9,56.5,14.6,318.1,21.8,9,0.09,rain
24.9,19.4,22.1,24.9,19.4,22.2,15.3,65.81,0.0,0.0,0.0,0.0,44.6,28.9,130.8,1012.9,46.9,16.0,341.5,27.1,9,0.14,partly-cloudy-day
24.5,18.7,22.1,24.5,18.7,22.1,12.8,56.39,0.0,0.0,0.0,0.0,31.811228993107537,17.9,175.1,1014.7,35.4,16.0,428.7,24.7,9,0.2,partly-cloudy-day
31.1,20.9,26.4,29.8,20.9,25.8,12.1,43.11,0.0,0.0,0.0,0.0,31.6,23.7,276.6,1015.3,31.3,16.0,481.0,27.7,9,0.25,partly-cloudy-day
30.7,23.1,26.1,30.3,23.1,26.1,15.5,52.88,0.0,0.0,0.0,0.0,38.00216799899634,23.5,193.1,1016.0,50.4,16.0,391.4,25.4,9,0.31,partly-cloudy-day
29.9,21.6,24.8,31.7,21.6,25.1,18.9,70.86,0.11,4.17,0.0,0.0,48.9,34.6,184.6,1013.7,45.4,14.5,303.3,17.5,6,0.36,rain
26.3,21.2,23.0,26.3,21.2,23.0,20.5,86.17,21.37,62.5,0.0,0.0,45.7,21.9,112.3,1006.4,58.6,12.6,186.5,14.8,8,0.41,rain
31.1,22.1,26.3,31.4,22.1,26.5,17.4,60.13,0.0,0.0,0.0,0.0,31.7,23.5,262.4,1010.4,48.7,16.0,330.5,26.2,9,0.44,partly-cloudy-day
32.8,23.2,28.3,33.4,23.2,28.4,17.1,52.59,0.0,0.0,0.0,0.0,35.2,25.5,274.0,1011.0,51.2,16.0,395.6,21.4,9,0.47,partly-cloudy-day
29.9,21.5,25.8,28.9,21.5,25.5,12.6,44.96,0.0,0.0,0.0,0.0,38.7,25.6,307.8,1015.4,42.5,16.0,451.9,26.0,9,0.49,partly-cloudy-day
31.6,21.5,26.6,31.7,21.5,26.7,15.1,50.14,0.0,0.0,0.0,0.0,33.5,23.7,249.5,1016.4,51.7,16.0,416.8,25.5,9,0.5,partly-cloudy-day
33.3,24.3,27.6,37.1,24.3,28.8,20.7,67.3,11.22,25.0,0.0,0.0,70.2,25.4,245.4,1012.5,51.4,15.3,211.1,14.4,8,0.5,rain
25.6,19.3,21.9,25.6,19.3,21.9,17.0,73.89,1.08,12.5,0.0,0.0,50.2,29.2,103.0,1014.2,73.9,15.4,92.0,7.9,3,0.52,rain
33.3,19.2,25.8,37.7,19.2,27.6,18.2,63.72,0.0,0.0,0.0,0.0,38.9,25.6,210.1,1010.4,52.7,16.0,319.4,24.1,9,0.53,partly-cloudy-day
35.6,26.6,31.7,41.9,26.6,36.7,23.5,62.93,0.0,0.0,0.0,0.0,33.5,22.0,246.0,1007.6,49.8,16.0,385.1,23.6,8,0.56,partly-cloudy-day
36.1,28.3,32.1,39.4,30.3,34.6,20.3,50.42,0.0,0.0,0.0,0.0,44.6,34.9,263.8,1006.1,38.3,16.0,428.0,24.7,9,0.6,wind
